Time,"Time Code","Country Name","Country Code","Population, total [SP.POP.TOTL]","Surface area (sq. km) [AG.SRF.TOTL.K2]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","GDP (current US$) [NY.GDP.MKTP.CD]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","Population density (people per sq. km of land area) [EN.POP.DNST]"
2019,"YR2019","Afghanistan","AFG","37769499","652860","0.297563650500103","18904502222.2108","3.911603419423","500.52298078433","57.9082516903546"
2019,"YR2019","Albania","ALB","2854191","28750","1.74946245713759","15401826080.5183","2.08771199649604","5396.21422690995","104.167554744526"
2019,"YR2019","Algeria","DZA","42705368","2381741","3.99440182789199","171760290068.157","0.999999999741789","4021.98360796603","17.9303156808402"
2019,"YR2019","American Samoa","ASM","47321","200","..","647000000","-0.487804878048777","13672.576657298","236.605"
2019,"YR2019","Andorra","AND","76343","470","6.2872038038851","3155149347.92151","2.01554763848308","41328.6004993451","162.431914893617"
2019,"YR2019","Angola","AGO","32353588","1246700","0.753638205444169","69309110145.7687","-0.702272957616017","2142.23875712854","25.9513820486083"
2019,"YR2019","Antigua and Barbuda","ATG","92117","440","5.52558159731646","1675403703.7037","4.34405983052592","18187.7797117112","209.356818181818"
2019,"YR2019","Argentina","ARG","44938712","2780400","3.74202981162433","447754686715.081","-2.00086100285785","9963.67423069626","16.4208266190179"
2019,"YR2019","Armenia","ARM","2820602","29740","2.1965523671897","13619290545.8131","7.59999999853918","4828.50488860645","99.0727783631893"
2019,"YR2019","Aruba","ABW","106442","180","..","3395793854.7486","0.635029787882658","31902.7625819564","591.344444444444"
2019,"YR2019","Australia","AUS","25340217","7741220","15.595726745355","1392218527563.26","2.1713962244835","54941.0657202842","3.29435141874306"
2019,"YR2019","Austria","AUT","8879920","83879","7.26333120118199","444621176100.54","1.51738858303159","50070.4033482892","107.609306834707"
2019,"YR2019","Azerbaijan","AZE","10024283","86600","3.54349533028946","48174235294.1176","2.50000006743734","4805.75371765917","121.280071139933"
2019,"YR2019","Bahamas, The","BHS","404557","13880","6.48289363427156","13058700000","-0.7439779983562","32279.0113630465","40.4152847152847"
2019,"YR2019","Bahrain","BHR","1494188","783","22.063354812112","38653318085.1064","2.1669646688237","25869.1129129041","1915.62564102564"
2019,"YR2019","Bangladesh","BGD","165516222","147570","0.559733655592985","351238397263.802","7.8819067286135","2122.0783861524","1271.53892601982"
2019,"YR2019","Barbados","BRB","280180","430","4.16614319366122","5324250000","-0.131147253497488","19002.9623813263","651.581395348837"
2019,"YR2019","Belarus","BLR","9419758","207600","6.12342695003417","64410112583.362","1.44620667102681","6837.76723174438","46.4107506220284"
2019,"YR2019","Belgium","BEL","11488980","30530","8.09379074556662","535865692402.342","2.26156832127384","46641.7116578097","379.424702774108"
2019,"YR2019","Belize","BLZ","389095","22970","1.89208291034323","2416500000","4.50204638472033","6210.56554311929","17.0580885576502"
2019,"YR2019","Benin","BEN","12290444","114760","0.60823677321991","14391686309.0337","6.86568733550151","1170.96553298105","108.996488116353"
2019,"YR2019","Bermuda","BMU","63911","4290","..","7423465000","0.306266735233933","116153.166121638","1183.53703703704"
2019,"YR2019","Bhutan","BTN","767459","38390","1.86720072342627","2535655609.45889","5.75516999309463","3303.96230868215","20.1221552176193"
2019,"YR2019","Bolivia","BOL","11777315","1098580","1.85346150629409","40895322850.9407","2.21670563961031","3472.38083136442","10.8717022062217"
2019,"YR2019","Bosnia and Herzegovina","BIH","3360711","51210","6.28566395622831","20482603346.4473","2.88734334414875","6094.72321376258","65.63888671875"
2019,"YR2019","Botswana","BWA","2499702","581730","2.8796632558601","16725908661.9419","3.03255655553514","6691.16105117407","4.41074585781589"
2019,"YR2019","Brazil","BRA","211782878","8515770","2.05077012882977","1873288159000.64","1.22077782360842","8845.3239312417","25.3385176606278"
2019,"YR2019","British Virgin Islands","VGB","30610","150","..","..","..","..","204.066666666667"
2019,"YR2019","Brunei Darussalam","BRN","438048","5770","16.111932938856","13469240162.5496","3.86910986506845","30748.3201899098","83.1210626185958"
2019,"YR2019","Bulgaria","BGR","6975761","111000","5.61371010274005","68911930627.8977","4.03814220572653","9878.76887237072","64.2571941783346"
2019,"YR2019","Burkina Faso","BFA","20951639","274220","0.26950158887331","16178161666.1334","5.68811514943657","772.166877547544","76.5776279239766"
2019,"YR2019","Burundi","BDI","11874838","27830","0.0595713389942667","2576518879.39881","1.81256532401552","216.972970864849","462.415809968847"
2019,"YR2019","Cabo Verde","CPV","577030","4030","1.06961509800184","2266752197.42617","7.63608168918957","3928.30909558631","143.183622828784"
2019,"YR2019","Cambodia","KHM","16207746","181040","1.11633042620485","27089390032.8915","7.05410693233065","1671.38540009767","91.8181849082257"
2019,"YR2019","Cameroon","CMR","25782341","475440","0.370691707164993","39670976440.3158","3.47505997865608","1538.68791202148","54.5415603647056"
2019,"YR2019","Canada","CAN","37601230","9879750","15.0527469447143","1743725183672.52","1.88822358535141","46374.1527517191","4.19394931064213"
2019,"YR2019","Cayman Islands","CYM","66134","264","..","5941896599.57333","3.91563637725301","89846.3210991824","275.558333333333"
2019,"YR2019","Central African Republic","CAF","5209324","622980","0.0451882048419334","2221301350.75537","3.09999999999999","426.408752988942","8.36194420366625"
2019,"YR2019","Chad","TCD","16126866","1284000","0.0981963885605548","11314951088.2451","3.24718191743429","701.621200811434","12.8072315756036"
2019,"YR2019","Channel Islands","CHI","169410","198","..","10381669645.1366","1.32511666013609","61281.3272247009","855.606060606061"
